"prov","excess_mort"
"آذربايجان شرقي",18862.25
"آذربايجان غربي",13122.55
"اردبيل",5548.70000000001
"اصفهان",19011.8499999999
"البرز",13038.2500000001
"ايلام",2056.3
"بوشهر",3197.1
"تهران",53140.65
"چهارمحال و بختياري",1648.80000000001
"خراسان جنوبي",1704.7
"خراسان رضوي",23634
"خراسان شمالي",2446.9
"خوزستان",18126.8
"زنجان",3944.2
"سمنان",2513.6
"سيستان و بلوچستان",4080.7
"فارس",18169.6
"قزوين",5538.2
"قم",5512.2
"کردستان",6114.35
"کرمان",9120.4
"کرمانشاه",8319
"کهگيلويه و بويراحمد",1850.15
"گلستان",7422.95000000001
"گيلان",8439.00000000001
"لرستان",5644.3
"مازندران",11030.4
"مرکزي",5055.4
"هرمزگان",3828.6
"همدان",7527.4
"يزد",3550.9
